,corner,position,grade
0,1,3,1
1,1,6,1
2,1,8,2
3,1,9,2
4,1,11,3
5,1,24,1
6,1,26,2
7,1,12,1
8,1,14,2
9,1,27,2
10,1,29,3
11,1,15,2
12,1,17,1
13,1,30,3
14,1,32,2
15,1,41,1
16,1,43,2
17,1,46,2
18,1,48,2
19,1,33,2
20,1,35,3
21,1,38,3
22,1,40,2
23,3,1,1
24,3,6,2
25,3,8,1
26,3,9,1
27,3,11,2
28,3,24,2
29,3,26,3
30,3,12,2
31,3,14,1
32,3,27,3
33,3,29,2
34,3,15,3
35,3,17,2
36,3,30,2
37,3,32,1
38,3,41,2
39,3,43,1
40,3,46,3
41,3,48,2
42,3,33,3
43,3,35,2
44,3,38,2
45,3,40,3
46,6,1,1
47,6,3,2
48,6,8,1
49,6,9,3
50,6,11,2
51,6,24,2
52,6,26,1
53,6,12,2
54,6,14,3
55,6,27,1
56,6,29,2
57,6,15,1
58,6,17,2
59,6,30,2
60,6,32,3
61,6,41,2
62,6,43,3
63,6,46,1
64,6,48,2
65,6,33,3
66,6,35,2
67,6,38,2
68,6,40,3
69,8,1,2
70,8,3,1
71,8,6,1
72,8,9,2
73,8,11,1
74,8,24,2
75,8,26,2
76,8,12,3
77,8,14,2
78,8,27,2
79,8,29,1
80,8,15,2
81,8,17,3
82,8,30,1
83,8,32,2
84,8,41,3
85,8,43,2
86,8,46,2
87,8,48,1
88,8,33,2
89,8,35,3
90,8,38,3
91,8,40,2
92,9,1,2
93,9,3,1
94,9,6,3
95,9,8,2
96,9,11,1
97,9,24,1
98,9,26,2
99,9,12,1
100,9,14,2
101,9,27,2
102,9,29,3
103,9,15,2
104,9,17,3
105,9,30,2
106,9,32,2
107,9,41,3
108,9,43,2
109,9,46,2
110,9,48,1
111,9,33,2
112,9,35,3
113,9,38,1
114,9,40,2
115,11,1,3
116,11,3,2
117,11,6,2
118,11,8,1
119,11,9,1
120,11,24,2
121,11,26,1
122,11,12,2
123,11,14,1
124,11,27,3
125,11,29,2
126,11,15,3
127,11,17,2
128,11,30,2
129,11,32,3
130,11,41,2
131,11,43,3
132,11,46,1
133,11,48,2
134,11,33,1
135,11,35,2
136,11,38,2
137,11,40,3
138,24,1,1
139,24,3,2
140,24,6,2
141,24,8,2
142,24,9,1
143,24,11,2
144,24,26,1
145,24,12,2
146,24,14,3
147,24,27,1
148,24,29,2
149,24,15,2
150,24,17,2
151,24,30,2
152,24,32,3
153,24,41,2
154,24,43,2
155,24,46,2
156,24,48,1
157,24,33,3
158,24,35,2
159,24,38,2
160,24,40,1
161,26,1,2
162,26,3,3
163,26,6,1
164,26,8,2
165,26,9,2
166,26,11,1
167,26,24,1
168,26,12,3
169,26,14,2
170,26,27,2
171,26,29,1
172,26,15,2
173,26,17,3
174,26,30,3
175,26,32,2
176,26,41,1
177,26,43,2
178,26,46,2
179,26,48,2
180,26,33,2
181,26,35,1
182,26,38,3
183,26,40,2
184,12,1,1
185,12,3,2
186,12,6,2
187,12,8,3
188,12,9,1
189,12,11,2
190,12,24,2
191,12,26,3
192,12,14,1
193,12,27,1
194,12,29,2
195,12,15,1
196,12,17,2
197,12,30,2
198,12,32,3
199,12,41,2
200,12,43,3
201,12,46,3
202,12,48,2
203,12,33,1
204,12,35,2
205,12,38,2
206,12,40,3
207,14,1,2
208,14,3,1
209,14,6,3
210,14,8,2
211,14,9,2
212,14,11,1
213,14,24,3
214,14,26,2
215,14,12,1
216,14,27,2
217,14,29,1
218,14,15,2
219,14,17,1
220,14,30,3
221,14,32,2
222,14,41,3
223,14,43,2
224,14,46,2
225,14,48,3
226,14,33,2
227,14,35,1
228,14,38,3
229,14,40,2
230,27,1,2
231,27,3,3
232,27,6,1
233,27,8,2
234,27,9,2
235,27,11,3
236,27,24,1
237,27,26,2
238,27,12,1
239,27,14,2
240,27,29,1
241,27,15,2
242,27,17,3
243,27,30,1
244,27,32,2
245,27,41,3
246,27,43,3
247,27,46,2
248,27,48,2
249,27,33,2
250,27,35,3
251,27,38,1
252,27,40,2
253,29,1,3
254,29,3,2
255,29,6,2
256,29,8,1
257,29,9,3
258,29,11,2
259,29,24,2
260,29,26,1
261,29,12,2
262,29,14,1
263,29,27,1
264,29,15,3
265,29,17,2
266,29,30,2
267,29,32,1
268,29,41,2
269,29,43,3
270,29,46,3
271,29,48,2
272,29,33,3
273,29,35,2
274,29,38,2
275,29,40,1
276,15,1,2
277,15,3,3
278,15,6,1
279,15,8,2
280,15,9,2
281,15,11,3
282,15,24,2
283,15,26,2
284,15,12,1
285,15,14,2
286,15,27,2
287,15,29,3
288,15,17,1
289,15,30,1
290,15,32,2
291,15,41,3
292,15,43,2
293,15,46,2
294,15,48,1
295,15,33,2
296,15,35,1
297,15,38,3
298,15,40,2
299,17,1,1
300,17,3,2
301,17,6,2
302,17,8,3
303,17,9,3
304,17,11,2
305,17,24,2
306,17,26,3
307,17,12,2
308,17,14,1
309,17,27,3
310,17,29,2
311,17,15,1
312,17,30,2
313,17,32,1
314,17,41,2
315,17,43,3
316,17,46,1
317,17,48,2
318,17,33,3
319,17,35,2
320,17,38,2
321,17,40,1
322,30,1,3
323,30,3,2
324,30,6,2
325,30,8,1
326,30,9,2
327,30,11,2
328,30,24,2
329,30,26,3
330,30,12,2
331,30,14,3
332,30,27,1
333,30,29,2
334,30,15,1
335,30,17,2
336,30,32,1
337,30,41,2
338,30,43,2
339,30,46,2
340,30,48,1
341,30,33,1
342,30,35,2
343,30,38,2
344,30,40,2
345,32,1,2
346,32,3,1
347,32,6,3
348,32,8,2
349,32,9,2
350,32,11,3
351,32,24,3
352,32,26,2
353,32,12,3
354,32,14,2
355,32,27,2
356,32,29,1
357,32,15,2
358,32,17,1
359,32,30,1
360,32,41,1
361,32,43,2
362,32,46,2
363,32,48,2
364,32,33,2
365,32,35,3
366,32,38,1
367,32,40,2
368,41,1,1
369,41,3,2
370,41,6,2
371,41,8,3
372,41,9,3
373,41,11,2
374,41,24,2
375,41,26,1
376,41,12,2
377,41,14,3
378,41,27,3
379,41,29,2
380,41,15,3
381,41,17,2
382,41,30,2
383,41,32,1
384,41,43,1
385,41,46,1
386,41,48,2
387,41,33,1
388,41,35,2
389,41,38,2
390,41,40,3
391,43,1,2
392,43,3,1
393,43,6,3
394,43,8,2
395,43,9,2
396,43,11,3
397,43,24,2
398,43,26,2
399,43,12,3
400,43,14,2
401,43,27,3
402,43,29,3
403,43,15,2
404,43,17,3
405,43,30,2
406,43,32,2
407,43,41,1
408,43,46,2
409,43,48,1
410,43,33,2
411,43,35,1
412,43,38,3
413,43,40,2
414,46,1,2
415,46,3,3
416,46,6,1
417,46,8,2
418,46,9,2
419,46,11,1
420,46,24,2
421,46,26,2
422,46,12,3
423,46,14,2
424,46,27,2
425,46,29,3
426,46,15,2
427,46,17,1
428,46,30,2
429,46,32,2
430,46,41,1
431,46,43,2
432,46,48,1
433,46,33,2
434,46,35,3
435,46,38,1
436,46,40,2
437,48,1,2
438,48,3,2
439,48,6,2
440,48,8,1
441,48,9,1
442,48,11,2
443,48,24,1
444,48,26,2
445,48,12,2
446,48,14,3
447,48,27,2
448,48,29,2
449,48,15,1
450,48,17,2
451,48,30,1
452,48,32,2
453,48,41,2
454,48,43,1
455,48,46,1
456,48,33,2
457,48,35,2
458,48,38,2
459,48,40,1
460,33,1,2
461,33,3,3
462,33,6,3
463,33,8,2
464,33,9,2
465,33,11,1
466,33,24,3
467,33,26,2
468,33,12,1
469,33,14,2
470,33,27,2
471,33,29,3
472,33,15,2
473,33,17,3
474,33,30,1
475,33,32,2
476,33,41,1
477,33,43,2
478,33,46,2
479,33,48,2
480,33,35,1
481,33,38,1
482,33,40,2
483,35,1,3
484,35,3,2
485,35,6,2
486,35,8,3
487,35,9,3
488,35,11,2
489,35,24,2
490,35,26,1
491,35,12,2
492,35,14,1
493,35,27,3
494,35,29,2
495,35,15,1
496,35,17,2
497,35,30,2
498,35,32,3
499,35,41,2
500,35,43,1
501,35,46,3
502,35,48,2
503,35,33,1
504,35,38,2
505,35,40,1
506,38,1,3
507,38,3,2
508,38,6,2
509,38,8,3
510,38,9,1
511,38,11,2
512,38,24,2
513,38,26,3
514,38,12,2
515,38,14,3
516,38,27,1
517,38,29,2
518,38,15,3
519,38,17,2
520,38,30,2
521,38,32,1
522,38,41,2
523,38,43,3
524,38,46,1
525,38,48,2
526,38,33,1
527,38,35,2
528,38,40,1
529,40,1,2
530,40,3,3
531,40,6,3
532,40,8,2
533,40,9,2
534,40,11,3
535,40,24,1
536,40,26,2
537,40,12,3
538,40,14,2
539,40,27,2
540,40,29,1
541,40,15,2
542,40,17,1
543,40,30,2
544,40,32,2
545,40,41,3
546,40,43,2
547,40,46,2
548,40,48,1
549,40,33,2
550,40,35,1
551,40,38,1
