,corner,position,grade,first_move,second_move,third_move
0,1,3,1,U,,
1,1,6,1,U',,
2,1,8,1,U2,,
3,1,9,2,U,B,
4,1,9,2,L,U,
5,1,9,2,B,L,
6,1,11,2,B,L2,
7,1,11,2,B',U2,
8,1,11,2,U2,F',
9,1,11,2,L2,F,
10,1,24,1,B,,
11,1,26,2,B,L',
12,1,26,2,U',F',
13,1,26,2,L',D,
14,1,12,1,L,,
15,1,14,2,U,R',
16,1,14,2,L,F,
17,1,14,2,B',U,
18,1,27,2,L,F',
19,1,27,2,B,D,
20,1,27,2,U',L,
21,1,29,2,L,F2,
22,1,29,2,L',D2,
23,1,29,2,U2,R',
24,1,29,2,B2,R,
25,1,15,2,L,U',
26,1,15,2,U',F,
27,1,15,2,B',R',
28,1,17,1,B',,
29,1,30,2,B,D2,
30,1,30,2,B',R2,
31,1,30,2,U2,F,
32,1,30,2,L2,F',
33,1,32,2,U,B',
34,1,32,2,L',D',
35,1,32,2,B',R,
36,1,41,1,L',,
37,1,43,2,U,R,
38,1,43,2,L',B,
39,1,46,2,U',L',
40,1,46,2,L',B',
41,1,46,2,B',U',
42,1,48,2,L,U2,
43,1,48,2,B,D',
44,1,48,2,L',B2,
45,1,48,2,U2,R,
46,1,48,2,B2,R',
47,1,33,1,L2,,
48,1,35,2,U,R2,
49,1,35,2,U',F2,
50,1,35,2,L2,D,
51,1,35,2,B2,D',
52,1,38,2,U,B2,
53,1,38,2,U',L2,
54,1,38,2,L2,D',
55,1,38,2,B2,D,
56,1,40,1,B2,,
57,3,1,1,U',,
58,3,6,1,U2,,
59,3,8,1,U,,
60,3,9,1,B,,
61,3,11,2,U,F',
62,3,11,2,B,L,
63,3,11,2,R',U,
64,3,24,2,B,L',
65,3,24,2,U',B,
66,3,26,2,B,L2,
67,3,26,2,B',D2,
68,3,26,2,U2,F',
69,3,26,2,R2,F,
70,3,12,2,B,U',
71,3,12,2,U',L,
72,3,12,2,R',F',
73,3,14,1,R',,
74,3,27,2,R',F2,
75,3,27,2,U2,L,
76,3,27,2,B2,L',
77,3,29,2,U,R',
78,3,29,2,R',F,
79,3,29,2,B',D',
80,3,15,2,B,U2,
81,3,15,2,B',R2,
82,3,15,2,U2,F,
83,3,15,2,R2,F',
84,3,17,2,U',B',
85,3,17,2,R',U',
86,3,17,2,B',R',
87,3,30,2,U,F,
88,3,30,2,B',R,
89,3,32,1,B',,
90,3,41,2,R,B',
91,3,41,2,U',L',
92,3,41,2,B',D,
93,3,43,1,R,,
94,3,46,2,R,B2,
95,3,46,2,R',U2,
96,3,46,2,U2,L',
97,3,46,2,B2,L,
98,3,48,2,U,R,
99,3,48,2,R,B,
100,3,48,2,B,U,
101,3,33,2,U,F2,
102,3,33,2,U',L2,
103,3,33,2,R2,D',
104,3,33,2,B2,D,
105,3,35,1,R2,,
106,3,38,1,B2,,
107,3,40,2,U,R2,
108,3,40,2,U',B2,
109,3,40,2,R2,D,
110,3,40,2,B2,D',
111,6,1,1,U,,
112,6,3,1,U2,,
113,6,8,1,U',,
114,6,9,2,F,U2,
115,6,9,2,F',L2,
116,6,9,2,U2,B,
117,6,9,2,L2,B',
118,6,11,2,U',F',
119,6,11,2,F',L',
120,6,11,2,L',U',
121,6,24,2,U,B,
122,6,24,2,L,D',
123,6,24,2,F',L,
124,6,26,1,F',,
125,6,12,2,U,L,
126,6,12,2,F,U,
127,6,12,2,L,F,
128,6,14,2,L,F2,
129,6,14,2,L',U2,
130,6,14,2,U2,R',
131,6,14,2,F2,R,
132,6,27,1,L,,
133,6,29,2,L,F',
134,6,29,2,U',R',
135,6,29,2,F',D,
136,6,15,1,F,,
137,6,17,2,U,B',
138,6,17,2,F,R,
139,6,17,2,L',U,
140,6,30,2,F,R',
141,6,30,2,L,D,
142,6,30,2,U',F,
143,6,32,2,F,R2,
144,6,32,2,F',D2,
145,6,32,2,U2,B',
146,6,32,2,L2,B,
147,6,41,2,U,L',
148,6,41,2,F',D',
149,6,41,2,L',B,
150,6,43,2,L',B2,
151,6,43,2,U2,R,
152,6,43,2,F2,R',
153,6,46,1,L',,
154,6,48,2,F,U',
155,6,48,2,L,D2,
156,6,48,2,U',R,
157,6,48,2,L',B',
158,6,33,2,U,L2,
159,6,33,2,U',F2,
160,6,33,2,F2,D',
161,6,33,2,L2,D,
162,6,35,1,F2,,
163,6,38,1,L2,,
164,6,40,2,U,B2,
165,6,40,2,U',R2,
166,6,40,2,F2,D,
167,6,40,2,L2,D',
168,8,1,1,U2,,
169,8,3,1,U',,
170,8,6,1,U,,
171,8,9,2,R,U',
172,8,9,2,U',B,
173,8,9,2,F',L',
174,8,11,1,F',,
175,8,24,2,R,D,
176,8,24,2,F,D2,
177,8,24,2,F',L2,
178,8,24,2,U2,B,
179,8,24,2,R2,B',
180,8,26,2,U,F',
181,8,26,2,R',D',
182,8,26,2,F',L,
183,8,12,2,R,U2,
184,8,12,2,R',F2,
185,8,12,2,U2,L,
186,8,12,2,F2,L',
187,8,14,2,U',R',
188,8,14,2,R',F',
189,8,14,2,F',U',
190,8,27,2,U,L,
191,8,27,2,R,D2,
192,8,27,2,F,D',
193,8,27,2,R',F,
194,8,29,1,R',,
195,8,15,2,U,F,
196,8,15,2,R,U,
197,8,15,2,F,R,
198,8,17,2,F,R2,
199,8,17,2,F',U2,
200,8,17,2,U2,B',
201,8,17,2,R2,B,
202,8,30,1,F,,
203,8,32,2,F,R',
204,8,32,2,U',B',
205,8,32,2,R',D,
206,8,41,2,R,B2,
207,8,41,2,R',D2,
208,8,41,2,U2,L',
209,8,41,2,F2,L,
210,8,43,2,R,B',
211,8,43,2,U',R,
212,8,46,2,U,L',
213,8,46,2,R,B,
214,8,46,2,F',U,
215,8,48,1,R,,
216,8,33,1,F2,,
217,8,35,2,U,F2,
218,8,35,2,U',R2,
219,8,35,2,R2,D',
220,8,35,2,F2,D,
221,8,38,2,U,L2,
222,8,38,2,U',B2,
223,8,38,2,R2,D,
224,8,38,2,F2,D',
225,8,40,1,R2,,
226,9,1,2,U',L',
227,9,1,2,L',B',
228,9,1,2,B',U',
229,9,3,1,B',,
230,9,6,2,B,L2,
231,9,6,2,B',U2,
232,9,6,2,U2,F',
233,9,6,2,L2,F,
234,9,8,2,U,R',
235,9,8,2,L,F,
236,9,8,2,B',U,
237,9,11,1,L,,
238,9,24,1,L',,
239,9,26,1,L2,,
240,9,12,1,U',,
241,9,14,2,L,U',
242,9,14,2,U',F,
243,9,14,2,B',R',
244,9,27,2,U,D2,
245,9,27,2,B,L',
246,9,27,2,U',F',
247,9,27,2,L',D,
248,9,29,2,U,R2,
249,9,29,2,U',F2,
250,9,29,2,L2,D,
251,9,29,2,B2,D',
252,9,15,1,U2,,
253,9,17,2,L,U2,
254,9,17,2,L',B2,
255,9,17,2,U2,R,
256,9,17,2,B2,R',
257,9,30,2,U,D',
258,9,30,2,L,F2,
259,9,30,2,L',D2,
260,9,30,2,U2,R',
261,9,30,2,B2,R,
262,9,32,1,B2,,
263,9,41,2,U,B2,
264,9,41,2,U',L2,
265,9,41,2,L2,D',
266,9,41,2,B2,D,
267,9,43,2,U,B',
268,9,43,2,B',R,
269,9,46,2,U,B,
270,9,46,2,L,U,
271,9,46,2,B,L,
272,9,48,1,U,,
273,9,33,2,L,F',
274,9,33,2,B,D,
275,9,33,2,U',L,
276,9,35,2,B,D2,
277,9,35,2,B',R2,
278,9,35,2,U2,F,
279,9,35,2,L2,F',
280,9,38,1,B,,
281,9,40,2,U,R,
282,9,40,2,B,D',
283,9,40,2,L',B,
284,11,1,2,F,U2,
285,11,1,2,F',L2,
286,11,1,2,U2,B,
287,11,1,2,L2,B',
288,11,3,2,F,U',
289,11,3,2,U',R,
290,11,3,2,L',B',
291,11,6,2,U,L,
292,11,6,2,F,U,
293,11,6,2,L,F,
294,11,8,1,F,,
295,11,9,1,L',,
296,11,24,1,L2,,
297,11,26,1,L,,
298,11,12,2,U',F',
299,11,12,2,F',L',
300,11,12,2,L',U',
301,11,14,1,U',,
302,11,27,2,U,L2,
303,11,27,2,U',F2,
304,11,27,2,F2,D',
305,11,27,2,L2,D,
306,11,29,2,F,R',
307,11,29,2,L,D,
308,11,29,2,U',F,
309,11,15,2,L,F2,
310,11,15,2,L',U2,
311,11,15,2,U2,R',
312,11,15,2,F2,R,
313,11,17,1,U2,,
314,11,30,1,F2,,
315,11,32,2,L,D2,
316,11,32,2,L',B2,
317,11,32,2,U2,R,
318,11,32,2,F2,R',
319,11,41,2,U,B,
320,11,41,2,L,D',
321,11,41,2,F',L,
322,11,43,2,U,B2,
323,11,43,2,U',R2,
324,11,46,1,U,,
325,11,48,2,U,B',
326,11,48,2,F,R,
327,11,48,2,L',U,
328,11,48,2,F2,D,
329,11,48,2,L2,D',
330,11,33,1,F',,
331,11,35,2,L,F',
332,11,35,2,U',R',
333,11,35,2,F',D,
334,11,38,2,U,L',
335,11,38,2,F',D',
336,11,38,2,L',B,
337,11,40,2,F,R2,
338,11,40,2,F',D2,
339,11,40,2,U2,B',
340,11,40,2,L2,B,
341,24,1,1,B',,
342,24,3,2,L,B',
343,24,3,2,B',U,
344,24,6,2,D,L',
345,24,6,2,L',F,
346,24,6,2,B',U',
347,24,8,2,B,R2,
348,24,8,2,D',R',
349,24,8,2,B',U2,
350,24,8,2,D2,F',
351,24,8,2,L2,F,
352,24,9,1,L,,
353,24,11,1,L2,,
354,24,26,1,L',,
355,24,12,2,D,F,
356,24,12,2,L,U',
357,24,12,2,D',U2,
358,24,12,2,B',L,
359,24,14,2,D,F2,
360,24,14,2,L2,U',
361,24,14,2,B2,U,
362,24,27,1,D,,
363,24,29,2,D,F',
364,24,29,2,B,R,
365,24,29,2,D',R2,
366,24,29,2,L',D,
367,24,15,2,L,U2,
368,24,15,2,D',U,
369,24,15,2,L',F2,
370,24,15,2,D2,R,
371,24,15,2,B2,R',
372,24,17,1,B2,,
373,24,30,1,D2,,
374,24,32,2,L,B2,
375,24,32,2,L',D2,
376,24,32,2,D2,R',
377,24,32,2,B2,R,
378,24,41,2,D',B2,
379,24,41,2,L',D',
380,24,41,2,B',L',
381,24,43,2,D',B',
382,24,46,2,D,L2,
383,24,46,2,D',B,
384,24,46,2,L2,U,
385,24,46,2,B2,U',
386,24,48,1,D',,
387,24,33,2,B,D2,
388,24,33,2,B',L2,
389,24,33,2,D2,F,
390,24,33,2,L2,F',
391,24,35,2,B,D',
392,24,35,2,L',F',
393,24,38,2,D,L,
394,24,38,2,L,B,
395,24,38,2,B,D,
396,24,40,1,B,,
397,26,1,2,F,U,
398,26,1,2,L,B',
399,26,1,2,D',L,
400,26,3,2,F,U2,
401,26,3,2,F',R2,
402,26,3,2,D2,B,
403,26,3,2,L2,B',
404,26,6,1,F,,
405,26,8,2,F,U',
406,26,8,2,D,R,
407,26,8,2,L',F,
408,26,9,1,L2,,
409,26,11,1,L',,
410,26,24,1,L,,
411,26,12,2,D,F2,
412,26,12,2,D',L2,
413,26,12,2,F2,U,
414,26,12,2,L2,U',
415,26,14,2,D,F',
416,26,14,2,F',R,
417,26,14,2,L',U',
418,26,27,2,F,L,
419,26,27,2,D,F,
420,26,27,2,L,D,
421,26,29,1,D,,
422,26,15,1,F2,,
423,26,17,2,L,B2,
424,26,17,2,L',U2,
425,26,17,2,F2,R,
426,26,17,2,D2,R',
427,26,30,2,L,D2,
428,26,30,2,L',F2,
429,26,30,2,F2,R',
430,26,30,2,D2,R,
431,26,32,1,D2,,
432,26,41,1,D',,
433,26,43,2,F',R',
434,26,43,2,D',B,
435,26,46,2,F,L',
436,26,46,2,D',B',
437,26,46,2,L',U,
438,26,48,2,D,R2,
439,26,48,2,L,D',
440,26,48,2,D',B2,
441,26,48,2,F2,U',
442,26,48,2,L2,U,
443,26,33,2,F',D',
444,26,33,2,D',L',
445,26,33,2,L',F',
446,26,35,1,F',,
447,26,38,2,F,L2,
448,26,38,2,F',D2,
449,26,38,2,D2,B',
450,26,38,2,L2,B,
451,26,40,2,D,R',
452,26,40,2,L,B,
453,26,40,2,F',D,
454,12,1,1,L',,
455,12,3,2,U,B',
456,12,3,2,F,R,
457,12,3,2,L',U,
458,12,6,2,U',F',
459,12,6,2,F',L',
460,12,6,2,L',U',
461,12,8,2,L,F2,
462,12,8,2,L',U2,
463,12,8,2,U2,R',
464,12,8,2,F2,R,
465,12,9,1,U,,
466,12,11,2,U,L,
467,12,11,2,F,U,
468,12,11,2,L,F,
469,12,24,2,U,L',
470,12,24,2,F',D',
471,12,24,2,L',B,
472,12,24,2,U2,D,
473,12,26,2,U,L2,
474,12,26,2,U',F2,
475,12,26,2,F2,D',
476,12,26,2,L2,D,
477,12,14,1,F,,
478,12,27,1,F',,
479,12,29,1,F2,,
480,12,15,1,U',,
481,12,17,2,F,U',
482,12,17,2,U',R,
483,12,17,2,L',B',
484,12,30,2,L,F',
485,12,30,2,U',R',
486,12,30,2,F',D,
487,12,30,2,U2,D',
488,12,32,2,U,B2,
489,12,32,2,U',R2,
490,12,32,2,F2,D,
491,12,32,2,L2,D',
492,12,41,1,L2,,
493,12,43,2,F,R2,
494,12,43,2,U2,B',
495,12,43,2,L2,B,
496,12,46,2,F,U2,
497,12,46,2,F',L2,
498,12,46,2,U2,B,
499,12,46,2,L2,B',
500,12,48,1,U2,,
501,12,33,1,L,,
502,12,35,2,F,R',
503,12,35,2,L,D,
504,12,35,2,U',F,
505,12,38,2,U,B,
506,12,38,2,L,D',
507,12,38,2,F',L,
508,12,40,2,L,D2,
509,12,40,2,L',B2,
510,12,40,2,U2,R,
511,12,40,2,F2,R',
512,14,1,2,R,U',
513,14,1,2,U',B,
514,14,1,2,F',L',
515,14,3,1,R,,
516,14,6,2,R,U2,
517,14,6,2,R',F2,
518,14,6,2,U2,L,
519,14,6,2,F2,L',
520,14,8,2,U,F,
521,14,8,2,R,U,
522,14,8,2,F,R,
523,14,9,2,U,L',
524,14,9,2,R,B,
525,14,9,2,F',U,
526,14,11,1,U,,
527,14,24,2,U,L2,
528,14,24,2,U',B2,
529,14,24,2,F2,D',
530,14,26,2,U,L,
531,14,26,2,F,D',
532,14,26,2,R',F,
533,14,12,1,F',,
534,14,27,1,F2,,
535,14,29,1,F,,
536,14,15,2,U',R',
537,14,15,2,R',F',
538,14,15,2,F',U',
539,14,17,1,U',,
540,14,30,2,U,F2,
541,14,30,2,U',R2,
542,14,30,2,F2,D,
543,14,32,2,R,B',
544,14,32,2,F,D,
545,14,32,2,U',R,
546,14,41,2,F,D2,
547,14,41,2,F',L2,
548,14,41,2,U2,B,
549,14,41,2,R2,B',
550,14,43,1,R2,,
551,14,46,1,U2,,
552,14,48,2,F,R2,
553,14,48,2,F',U2,
554,14,48,2,U2,B',
555,14,48,2,R2,B,
556,14,48,2,F2,D2,
557,14,33,2,U,F',
558,14,33,2,R',D',
559,14,33,2,F',L,
560,14,35,1,R',,
561,14,38,2,R,B2,
562,14,38,2,R',D2,
563,14,38,2,U2,L',
564,14,38,2,F2,L,
565,14,40,2,F,R',
566,14,40,2,U',B',
567,14,40,2,R',D,
568,27,1,2,F,L',
569,27,1,2,D',B',
570,27,1,2,L',U,
571,27,3,2,L,B2,
572,27,3,2,L',U2,
573,27,3,2,F2,R,
574,27,6,1,L',,
575,27,8,2,D,F',
576,27,8,2,F',R,
577,27,8,2,L',U',
578,27,8,2,D2,R',
579,27,9,2,F,U,
580,27,9,2,L,B',
581,27,9,2,D',L,
582,27,9,2,D2,U',
583,27,11,2,D,F2,
584,27,11,2,D',L2,
585,27,11,2,F2,U,
586,27,11,2,L2,U',
587,27,24,1,D',,
588,27,26,2,F',D',
589,27,26,2,D',L',
590,27,26,2,L',F',
591,27,12,1,F,,
592,27,14,1,F2,,
593,27,29,1,F',,
594,27,15,2,F,U',
595,27,15,2,D,R,
596,27,15,2,L',F,
597,27,15,2,D2,U,
598,27,17,2,D,R2,
599,27,17,2,D',B2,
600,27,17,2,F2,U',
601,27,17,2,L2,U,
602,27,30,1,D,,
603,27,32,2,D,R',
604,27,32,2,L,B,
605,27,32,2,F',D,
606,27,41,2,F,L2,
607,27,41,2,F',D2,
608,27,41,2,D2,B2,
609,27,41,2,L2,B,
610,27,43,2,F2,R2,
611,27,43,2,D2,B',
612,27,43,2,L2,B2,
613,27,46,1,L2,,
614,27,48,1,D2,,
615,27,33,2,F,L,
616,27,33,2,D,F,
617,27,33,2,L,D,
618,27,35,2,L,D2,
619,27,35,2,L',F2,
620,27,35,2,F2,R',
621,27,38,1,L,,
622,27,40,2,L,D',
623,27,40,2,F',R',
624,27,40,2,D',B,
625,27,40,2,D2,R,
626,29,1,2,R,U2,
627,29,1,2,R',B2,
628,29,1,2,F2,L',
629,29,1,2,D2,L,
630,29,3,2,R,U',
631,29,3,2,D,B,
632,29,3,2,F',R,
633,29,6,2,R,U,
634,29,6,2,F,L',
635,29,6,2,D',F,
636,29,8,1,R,,
637,29,9,2,D,B2,
638,29,9,2,D',L2,
639,29,9,2,R2,U',
640,29,9,2,F2,U,
641,29,11,2,R,F',
642,29,11,2,F',U,
643,29,11,2,D',L',
644,29,24,2,F,D',
645,29,24,2,R',B',
646,29,24,2,D',L,
647,29,24,2,R2,D,
648,29,26,1,D',,
649,29,12,1,F2,,
650,29,14,1,F',,
651,29,27,1,F,,
652,29,15,2,D,R2,
653,29,15,2,D',F2,
654,29,15,2,R2,U,
655,29,15,2,F2,U',
656,29,17,2,D,R',
657,29,17,2,R',B,
658,29,17,2,F',U',
659,29,30,2,R,F,
660,29,30,2,F,D,
661,29,30,2,D,R,
662,29,30,2,R2,D',
663,29,32,1,D,,
664,29,41,1,D2,,
665,29,43,2,F',R2,
666,29,43,2,R2,B',
667,29,43,2,D2,B,
668,29,46,2,F,L2,
669,29,46,2,F',U2,
670,29,46,2,R2,B,
671,29,46,2,D2,B',
672,29,48,1,R2,,
673,29,33,2,R,F2,
674,29,33,2,R',D2,
675,29,33,2,F2,L,
676,29,33,2,D2,L',
677,29,35,2,R',D',
678,29,35,2,F',R',
679,29,35,2,D',F',
680,29,38,2,F,L,
681,29,38,2,D,B',
682,29,38,2,R',D,
683,29,40,1,R',,
684,15,1,2,U,L',
685,15,1,2,R,B,
686,15,1,2,F',U,
687,15,3,2,F,R2,
688,15,3,2,F',U2,
689,15,3,2,U2,B',
690,15,3,2,R2,B,
691,15,6,1,F',,
692,15,8,2,U',R',
693,15,8,2,R',F',
694,15,8,2,F',U',
695,15,9,1,U2,,
