,side,position,grade
0,2,4,1
1,2,5,1
2,2,7,2
3,2,10,2
4,2,18,1
5,2,19,3
6,2,25,2
7,2,13,3
8,2,20,2
9,2,21,2
10,2,28,3
11,2,16,2
12,2,22,3
13,2,23,1
14,2,31,2
15,2,42,3
16,2,44,2
17,2,45,2
18,2,47,3
19,2,34,4
20,2,36,3
21,2,37,3
22,2,39,2
23,4,2,1
24,4,5,2
25,4,7,1
26,4,10,3
27,4,18,2
28,4,19,2
29,4,25,3
30,4,13,2
31,4,20,1
32,4,21,3
33,4,28,2
34,4,16,3
35,4,22,2
36,4,23,2
37,4,31,3
38,4,42,2
39,4,44,1
40,4,45,3
41,4,47,2
42,4,34,3
43,4,36,2
44,4,37,4
45,4,39,3
46,5,2,1
47,5,4,2
48,5,7,1
49,5,10,3
50,5,18,2
51,5,19,2
52,5,25,3
53,5,13,2
54,5,20,3
55,5,21,1
56,5,28,2
57,5,16,3
58,5,22,2
59,5,23,2
60,5,31,3
61,5,42,2
62,5,44,3
63,5,45,1
64,5,47,2
65,5,34,3
66,5,36,4
67,5,37,2
68,5,39,3
69,7,2,2
70,7,4,1
71,7,5,1
72,7,10,2
73,7,18,3
74,7,19,1
75,7,25,2
76,7,13,3
77,7,20,2
78,7,21,2
79,7,28,3
80,7,16,2
81,7,22,1
82,7,23,3
83,7,31,2
84,7,42,3
85,7,44,2
86,7,45,2
87,7,47,3
88,7,34,2
89,7,36,3
90,7,37,3
91,7,39,4
92,10,2,2
93,10,4,3
94,10,5,3
95,10,7,2
96,10,18,1
97,10,19,1
98,10,25,2
99,10,13,1
100,10,20,2
101,10,21,2
102,10,28,3
103,10,16,2
104,10,22,3
105,10,23,3
106,10,31,4
107,10,42,3
108,10,44,2
109,10,45,2
110,10,47,1
111,10,34,2
112,10,36,3
113,10,37,3
114,10,39,2
115,18,2,1
116,18,4,2
117,18,5,2
118,18,7,3
119,18,10,1
120,18,19,2
121,18,25,1
122,18,13,2
123,18,20,3
124,18,21,3
125,18,28,2
126,18,16,3
127,18,22,4
128,18,23,2
129,18,31,3
130,18,42,2
131,18,44,3
132,18,45,3
133,18,47,2
134,18,34,3
135,18,36,2
136,18,37,2
137,18,39,1
138,19,2,3
139,19,4,2
140,19,5,2
141,19,7,1
142,19,10,1
143,19,18,2
144,19,25,1
145,19,13,2
146,19,20,3
147,19,21,3
148,19,28,2
149,19,16,3
150,19,22,2
151,19,23,4
152,19,31,3
153,19,42,2
154,19,44,3
155,19,45,3
156,19,47,2
157,19,34,1
158,19,36,2
159,19,37,2
160,19,39,3
161,25,2,2
162,25,4,3
163,25,5,3
164,25,7,2
165,25,10,2
166,25,18,1
167,25,19,1
168,25,13,3
169,25,20,2
170,25,21,2
171,25,28,1
172,25,16,4
173,25,22,3
174,25,23,3
175,25,31,2
176,25,42,1
177,25,44,2
178,25,45,2
179,25,47,3
180,25,34,2
181,25,36,3
182,25,37,3
183,25,39,2
184,13,2,3
185,13,4,2
186,13,5,2
187,13,7,3
188,13,10,1
189,13,18,2
190,13,19,2
191,13,25,3
192,13,20,1
193,13,21,1
194,13,28,2
195,13,16,1
196,13,22,2
197,13,23,2
198,13,31,3
199,13,42,4
200,13,44,3
201,13,45,3
202,13,47,2
203,13,34,3
204,13,36,2
205,13,37,2
206,13,39,3
207,20,2,2
208,20,4,1
209,20,5,3
210,20,7,2
211,20,10,2
212,20,18,3
213,20,19,3
214,20,25,2
215,20,13,1
216,20,21,2
217,20,28,1
218,20,16,2
219,20,22,3
220,20,23,3
221,20,31,2
222,20,42,3
223,20,44,2
224,20,45,4
225,20,47,3
226,20,34,2
227,20,36,1
228,20,37,3
229,20,39,2
230,21,2,2
231,21,4,3
232,21,5,1
233,21,7,2
234,21,10,2
235,21,18,3
236,21,19,3
237,21,25,2
238,21,13,1
239,21,20,2
240,21,28,1
241,21,16,2
242,21,22,3
243,21,23,3
244,21,31,2
245,21,42,3
246,21,44,4
247,21,45,2
248,21,47,3
249,21,34,2
250,21,36,3
251,21,37,1
252,21,39,2
253,28,2,3
254,28,4,2
255,28,5,2
256,28,7,3
257,28,10,3
258,28,18,2
259,28,19,2
260,28,25,1
261,28,13,2
262,28,20,1
263,28,21,1
264,28,16,3
265,28,22,2
266,28,23,2
267,28,31,1
268,28,42,2
269,28,44,3
270,28,45,3
271,28,47,4
272,28,34,3
273,28,36,2
274,28,37,2
275,28,39,3
276,16,2,2
277,16,4,3
278,16,5,3
279,16,7,2
280,16,10,2
281,16,18,3
282,16,19,3
283,16,25,4
284,16,13,1
285,16,20,2
286,16,21,2
287,16,28,3
288,16,22,1
289,16,23,1
290,16,31,2
291,16,42,3
292,16,44,2
293,16,45,2
294,16,47,1
295,16,34,2
296,16,36,3
297,16,37,3
298,16,39,2
299,22,2,3
300,22,4,2
301,22,5,2
302,22,7,1
303,22,10,3
304,22,18,4
305,22,19,2
306,22,25,3
307,22,13,2
308,22,20,3
309,22,21,3
310,22,28,2
311,22,16,1
312,22,23,2
313,22,31,1
314,22,42,2
315,22,44,3
316,22,45,3
317,22,47,2
318,22,34,1
319,22,36,2
320,22,37,2
321,22,39,3
322,23,2,1
323,23,4,2
324,23,5,2
325,23,7,3
326,23,10,3
327,23,18,2
328,23,19,4
329,23,25,3
330,23,13,2
331,23,20,3
332,23,21,3
333,23,28,2
334,23,16,1
335,23,22,2
336,23,31,1
337,23,42,2
338,23,44,3
339,23,45,3
340,23,47,2
341,23,34,3
342,23,36,2
343,23,37,2
344,23,39,1
345,31,2,2
346,31,4,3
347,31,5,3
348,31,7,2
349,31,10,4
350,31,18,3
351,31,19,3
352,31,25,2
353,31,13,3
354,31,20,2
355,31,21,2
356,31,28,1
357,31,16,2
358,31,22,1
359,31,23,1
360,31,42,1
361,31,44,2
362,31,45,2
363,31,47,3
364,31,34,2
365,31,36,3
366,31,37,3
367,31,39,2
368,42,2,3
369,42,4,2
370,42,5,2
371,42,7,3
372,42,10,3
373,42,18,2
374,42,19,2
375,42,25,1
376,42,13,4
377,42,20,3
378,42,21,3
379,42,28,2
380,42,16,3
381,42,22,2
382,42,23,2
383,42,31,1
384,42,44,1
385,42,45,1
386,42,47,2
387,42,34,3
388,42,36,2
389,42,37,2
390,42,39,3
391,44,2,2
392,44,4,1
393,44,5,3
394,44,7,2
395,44,10,2
396,44,18,3
397,44,19,3
398,44,25,2
399,44,13,3
400,44,20,2
401,44,21,4
402,44,28,3
403,44,16,2
404,44,22,3
405,44,23,3
406,44,31,2
407,44,42,1
408,44,45,2
409,44,47,1
410,44,34,2
411,44,36,1
412,44,37,3
413,44,39,2
414,45,2,2
415,45,4,3
416,45,5,1
417,45,7,2
418,45,10,2
419,45,18,3
420,45,19,3
421,45,25,2
422,45,13,3
423,45,20,4
424,45,21,2
425,45,28,3
426,45,16,2
427,45,22,3
428,45,23,3
429,45,31,2
430,45,42,1
431,45,44,2
432,45,47,1
433,45,34,2
434,45,36,3
435,45,37,1
436,45,39,2
437,47,2,3
438,47,4,2
439,47,5,2
440,47,7,3
441,47,10,1
442,47,18,2
443,47,19,2
444,47,25,3
445,47,13,2
446,47,20,3
447,47,21,3
448,47,28,4
449,47,16,1
450,47,22,2
451,47,23,2
452,47,31,3
453,47,42,2
454,47,44,1
455,47,45,1
456,47,34,3
457,47,36,2
458,47,37,2
459,47,39,3
460,34,2,4
461,34,4,3
462,34,5,3
463,34,7,2
464,34,10,2
465,34,18,3
466,34,19,1
467,34,25,2
468,34,13,3
469,34,20,2
470,34,21,2
471,34,28,3
472,34,16,2
473,34,22,1
474,34,23,3
475,34,31,2
476,34,42,3
477,34,44,2
478,34,45,2
479,34,47,3
480,34,36,1
481,34,37,1
482,34,39,2
483,36,2,3
484,36,4,2
485,36,5,4
486,36,7,3
487,36,10,3
488,36,18,2
489,36,19,2
490,36,25,3
491,36,13,2
492,36,20,1
493,36,21,3
494,36,28,2
495,36,16,3
496,36,22,2
497,36,23,2
498,36,31,3
499,36,42,2
500,36,44,1
501,36,45,3
502,36,47,2
503,36,34,1
504,36,37,2
505,36,39,1
506,37,2,3
507,37,4,4
508,37,5,2
509,37,7,3
510,37,10,3
511,37,18,2
512,37,19,2
513,37,25,3
514,37,13,2
515,37,20,3
516,37,21,1
517,37,28,2
518,37,16,3
519,37,22,2
520,37,23,2
521,37,31,3
522,37,42,2
523,37,44,3
524,37,45,1
525,37,47,2
526,37,34,1
527,37,36,2
528,37,39,1
529,39,2,2
530,39,4,3
531,39,5,3
532,39,7,4
533,39,10,2
534,39,18,1
535,39,19,3
536,39,25,2
537,39,13,3
538,39,20,2
539,39,21,2
540,39,28,3
541,39,16,2
542,39,22,3
543,39,23,1
544,39,31,2
545,39,42,3
546,39,44,2
547,39,45,2
548,39,47,3
549,39,34,2
550,39,36,1
551,39,37,1
